                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6535,                 5.1662,                 1.0869,                0.00089,                0.05157,                0.00208,                0.00026,                 1.1996,                 4.4617,                 1.0177,              2.001e-05,              2.001e-05,              2.001e-05
                      2,                 1.5411,                 5.1326,                 1.0983,                0.00088,                0.05338,                0.00243,                0.00033,                 1.2188,                  4.451,                 1.0257,             4.6459e-05,             4.6459e-05,             4.6459e-05
                      3,                 1.4626,                 5.2546,                 1.0548,                0.00106,                0.08258,                0.00183,                0.00026,                 1.2256,                 4.4234,                 1.0193,             7.2644e-05,             7.2644e-05,             7.2644e-05
                      4,                 1.3641,                 4.4581,                  1.012,                0.00031,                0.04419,                0.01241,                0.00477,                 1.2543,                 4.3667,                0.99872,             9.8564e-05,             9.8564e-05,             9.8564e-05
                      5,                 1.3534,                  4.044,                0.98892,                0.00068,                0.08586,                0.01462,                0.00725,                 1.1386,                 4.3213,                0.94813,             0.00012422,             0.00012422,             0.00012422
                      6,                 1.3101,                 3.4998,                0.99041,                0.00162,                0.25798,                0.03788,                0.01747,                 1.0023,                 4.2182,                0.91773,             0.00014961,             0.00014961,             0.00014961
                      7,                 1.1759,                  3.085,                0.91634,                0.00191,                0.31579,                0.04021,                0.02274,                 1.0071,                 4.1334,                0.91743,             0.00017474,             0.00017474,             0.00017474
                      8,                 1.2334,                 2.8307,                0.98311,                0.00252,                0.37986,                0.05316,                 0.0241,                 1.0247,                 4.1272,                 0.9134,             0.00019961,             0.00019961,             0.00019961
                      9,                 1.1349,                 2.8731,                 0.9384,                 0.0026,                0.42444,                0.05982,                0.02501,                 1.0169,                 4.0837,                0.90665,             0.00022421,             0.00022421,             0.00022421
                     10,                 1.1621,                 2.4701,                0.96542,                0.00219,                0.39667,                0.08544,                0.03497,                  0.972,                 3.9962,                0.89924,             0.00024854,             0.00024854,             0.00024854
                     11,                 1.1612,                 2.3893,                0.99122,                0.00251,                0.39263,                0.08327,                 0.0342,                0.93856,                 3.9577,                0.89505,             0.00027261,             0.00027261,             0.00027261
                     12,                  1.147,                 2.7782,                0.92976,                0.00354,                0.52551,                0.09546,                0.04792,                0.91914,                 3.8245,                0.88552,             0.00029642,             0.00029642,             0.00029642
                     13,                 1.0978,                 2.1643,                0.94173,                 0.0042,                0.62792,                0.14055,                0.09033,                0.95159,                 3.7061,                0.88937,             0.00031996,             0.00031996,             0.00031996
                     14,                 1.1736,                 2.1856,                0.95963,                0.00485,                0.69883,                0.23682,                0.15328,                0.95674,                 3.6072,                0.89535,             0.00034324,             0.00034324,             0.00034324
                     15,                 1.0333,                 1.9263,                0.91342,                0.00707,                0.81623,                0.39208,                0.27446,                0.95412,                 3.3022,                0.90014,             0.00036626,             0.00036626,             0.00036626
                     16,                   1.08,                 2.1219,                0.93817,                0.00722,                0.82532,                0.41024,                0.29037,                0.92285,                 3.2548,                0.89772,             0.00038901,             0.00038901,             0.00038901
                     17,                 1.1247,                 1.8962,                0.94182,                0.00718,                 0.8026,                0.42266,                0.29864,                0.90723,                 3.2427,                0.89859,              0.0004115,              0.0004115,              0.0004115
                     18,                 1.1387,                 1.9052,                0.93034,                0.00824,                0.94805,                0.44299,                0.31396,                0.91988,                 2.9593,                0.89247,             0.00043372,             0.00043372,             0.00043372
                     19,                0.98291,                 1.7457,                0.87609,                0.00844,                0.91775,                0.52734,                0.36867,                 0.9051,                 2.8261,                0.89153,             0.00045568,             0.00045568,             0.00045568
                     20,                0.96339,                 1.6856,                0.89966,                0.00874,                0.91775,                0.52831,                0.35999,                0.89818,                 2.8599,                 0.8932,             0.00047737,             0.00047737,             0.00047737
                     21,                 1.0291,                 1.8391,                0.91278,                      1,                0.07986,                 0.5387,                0.38052,                0.93128,                 2.6025,                0.89864,              0.0004988,              0.0004988,              0.0004988
                     22,                  1.125,                 1.7741,                 0.9349,                      1,                 0.1205,                 0.5667,                0.42846,                0.91537,                 2.4141,                 0.8912,             0.00051997,             0.00051997,             0.00051997
                     23,                0.98301,                 1.6627,                0.90838,                0.97299,                0.22669,                0.62026,                0.46145,                0.91536,                 2.2055,                0.88728,             0.00054087,             0.00054087,             0.00054087
                     24,                0.91829,                 1.4488,                0.87416,                0.91613,                0.29854,                0.63813,                0.45891,                 0.9418,                 1.9779,                0.89562,             0.00056151,             0.00056151,             0.00056151
                     25,                  1.065,                 1.6665,                0.90238,                 0.9696,                0.27114,                0.64782,                0.46727,                 0.9171,                 1.9529,                0.89424,             0.00058188,             0.00058188,             0.00058188
                     26,                 1.0593,                 1.5732,                0.92999,                 0.9684,                0.31852,                0.64355,                 0.4697,                0.90656,                 2.0455,                0.89015,             0.00058446,             0.00058446,             0.00058446
                     27,                0.95258,                 1.5081,                0.88863,                0.89652,                0.46833,                0.65175,                0.47347,                0.95427,                 1.7895,                0.90467,             0.00058116,             0.00058116,             0.00058116
                     28,                 1.0133,                 1.4411,                0.90667,                0.85013,                0.57057,                0.68995,                0.50962,                0.91393,                 1.4916,                0.89609,             0.00057786,             0.00057786,             0.00057786
                     29,                0.94942,                 1.4576,                0.91701,                0.69886,                0.64942,                0.74586,                0.54846,                0.86241,                 1.3456,                0.88172,             0.00057455,             0.00057455,             0.00057455
                     30,                0.99132,                 1.4009,                0.89286,                0.69716,                0.64926,                0.75379,                0.55238,                 0.8816,                 1.4127,                0.88287,             0.00057125,             0.00057125,             0.00057125
                     31,                0.93985,                 1.3863,                0.88385,                0.67759,                0.69826,                0.77567,                0.57606,                0.86414,                 1.3542,                0.87485,             0.00056795,             0.00056795,             0.00056795
                     32,                0.90387,                 1.3381,                0.87023,                 0.7519,                0.66996,                0.78705,                0.58004,                0.84134,                  1.119,                0.87238,             0.00056465,             0.00056465,             0.00056465
                     33,                 1.0027,                 1.3301,                0.89303,                 0.7133,                0.72223,                0.82673,                0.61469,                0.83511,                0.98134,                0.87197,             0.00056135,             0.00056135,             0.00056135
                     34,                 1.0334,                 1.5412,                0.93976,                0.72313,                0.70825,                0.79127,                0.58358,                0.84305,                0.99405,                0.87244,             0.00055805,             0.00055805,             0.00055805
                     35,                0.90484,                 1.2788,                0.88615,                0.67998,                0.76709,                0.77342,                0.56966,                0.84299,                 1.1367,                0.87109,             0.00055474,             0.00055474,             0.00055474
                     36,                0.95321,                 1.3436,                0.91377,                0.68586,                0.69022,                0.79931,                0.60581,                0.81571,                 1.0775,                0.87054,             0.00055144,             0.00055144,             0.00055144
                     37,                0.85671,                 1.3499,                 0.8918,                0.66414,                0.73912,                0.79735,                0.61877,                0.80973,                0.96751,                0.87034,             0.00054814,             0.00054814,             0.00054814
                     38,                0.90344,                 1.3709,                0.90864,                0.62837,                0.84019,                0.79673,                0.61858,                0.82689,                0.92973,                0.87068,             0.00054484,             0.00054484,             0.00054484
                     39,                0.89183,                 1.2376,                0.87868,                0.76864,                0.76439,                0.85171,                0.62964,                0.83991,                0.94813,                0.87033,             0.00054154,             0.00054154,             0.00054154
                     40,                0.88085,                 1.2285,                 0.8628,                0.71697,                0.75724,                0.84996,                0.64148,                 0.8205,                0.99746,                0.86325,             0.00053824,             0.00053824,             0.00053824
                     41,                0.89602,                 1.3489,                0.85153,                0.63674,                0.81474,                0.84723,                 0.6334,                0.80505,                 1.0062,                0.86235,             0.00053493,             0.00053493,             0.00053493
                     42,                0.87897,                 1.1769,                0.88755,                0.75541,                 0.8123,                0.88381,                0.64989,                 0.8189,                0.88948,                0.86912,             0.00053163,             0.00053163,             0.00053163
                     43,                0.90381,                 1.2604,                0.89975,                0.77605,                 0.8157,                0.88872,                0.66361,                 0.8199,                0.82686,                0.86998,             0.00052833,             0.00052833,             0.00052833
                     44,                0.89722,                 1.2451,                0.89263,                0.71447,                0.83456,                0.89163,                0.68306,                  0.802,                0.86757,                0.86279,             0.00052503,             0.00052503,             0.00052503
                     45,                 0.8855,                 1.2457,                0.86528,                0.71607,                0.81054,                 0.9046,                0.69358,                0.80064,                  1.009,                0.85762,             0.00052173,             0.00052173,             0.00052173
                     46,                0.85662,                 1.1535,                0.85851,                0.72775,                0.78312,                0.88525,                0.67594,                0.80556,                0.97919,                0.85803,             0.00051843,             0.00051843,             0.00051843
